IdImdb	Title	ReleaseYear	Genres	ImdbRating	Votes
tt0338013	Eternal Sunshine of the Spotless Mind	2004	Drama,Romance,Sci-Fi	8.3	791919
tt0073486	One Flew Over the Cuckoo's Nest	1975	Drama	8.7	797309
tt0120382	The Truman Show	1998	Comedy,Drama,Sci-Fi	8.1	801877
tt1049413	Up	2009	Adventure,Animation,Comedy	8.3	806788
tt0371746	Iron Man	2008	Action,Adventure,Sci-Fi	7.9	814556
tt0167404	The Sixth Sense	1999	Drama,Mystery,Thriller	8.1	816124
tt0086190	Star Wars: Episode VI - Return of the Jedi	1983	Action,Adventure,Fantasy	8.3	827602
tt0266543	Finding Nemo	2003	Adventure,Animation,Comedy	8.1	831789
tt0112573	Braveheart	1995	Biography,Drama,History	8.4	862785
tt0099685	Goodfellas	1990	Crime,Drama	8.7	864842
tt0910970	WALL·E	2008	Adventure,Animation,Family	8.4	867207
tt0266697	Kill Bill: Vol. 1	2003	Action,Crime,Thriller	8.1	868228
tt0103064	Terminator 2	1991	Action,Sci-Fi	8.5	870521
tt0114814	The Usual Suspects	1995	Crime,Mystery,Thriller	8.6	871203
tt0110413	Léon: The Professional	1994	Crime,Drama,Thriller	8.6	879549
tt2015381	Guardians of the Galaxy	2014	Action,Adventure,Comedy	8.1	880154
tt0088763	Back to the Future	1985	Adventure,Comedy,Sci-Fi	8.5	888217
tt0120338	Titanic	1997	Drama,Romance	7.8	914051
tt0120586	American History X	1998	Crime,Drama	8.5	915453
tt0434409	V for Vendetta	2005	Action,Drama,Sci-Fi	8.2	922441
tt0325980	Pirates of the Caribbean: The Curse of the Black Pearl	2003	Action,Adventure,Fantasy	8.0	935913
tt0071562	The Godfather: Part II	1974	Crime,Drama	9.0	951910
tt0169547	American Beauty	1999	Drama	8.4	958089
tt1130884	Shutter Island	2010	Mystery,Thriller	8.1	959366
tt0120689	The Green Mile	1999	Crime,Drama,Fantasy	8.5	959745
tt0993846	The Wolf of Wall Street	2013	Biography,Comedy,Crime	8.2	980454
tt0209144	Memento	2000	Mystery,Thriller	8.5	995041
tt0499549	Avatar	2009	Action,Adventure,Fantasy	7.8	1005456
tt0080684	Star Wars: Episode V - The Empire Strikes Back	1980	Action,Adventure,Fantasy	8.8	1008039
tt0482571	The Prestige	2006	Drama,Mystery,Sci-Fi	8.5	1020039
tt0407887	The Departed	2006	Crime,Drama,Thriller	8.5	1031834
tt0108052	Schindler's List	1993	Biography,Drama,History	8.9	1035642
tt0120815	Saving Private Ryan	1998	Drama,War	8.6	1057491
tt0361748	Inglourious Basterds	2009	Adventure,Drama,War	8.3	1069563
tt0102926	The Silence of the Lambs	1991	Crime,Drama,Thriller	8.6	1075970
tt0076759	Star Wars: Episode IV - A New Hope	1977	Action,Adventure,Fantasy	8.6	1078317
tt0848228	The Avengers	2012	Action,Adventure,Sci-Fi	8.1	1129041
tt0372784	Batman Begins	2005	Action,Adventure,Crime	8.3	1148652
tt1853728	Django Unchained	2012	Drama,Western	8.4	1156987
tt0172495	Gladiator	2000	Action,Adventure,Drama	8.5	1159683
tt0816692	Interstellar	2014	Adventure,Drama,Sci-Fi	8.6	1218930
tt0114369	Se7en	1995	Crime,Drama,Mystery	8.6	1226169
tt0167261	The Lord of the Rings: The Two Towers	2002	Adventure,Drama,Fantasy	8.7	1291442
tt1345836	The Dark Knight Rises	2012	Action,Thriller	8.4	1335842
tt0068646	The Godfather	1972	Crime,Drama	9.2	1374861
tt0167260	The Lord of the Rings: The Return of the King	2003	Action,Adventure,Drama	8.9	1428654
tt0133093	The Matrix	1999	Action,Sci-Fi	8.7	1439664
tt0120737	The Lord of the Rings: The Fellowship of the Ring	2001	Adventure,Drama,Fantasy	8.8	1445423
tt0109830	Forrest Gump	1994	Drama,Romance	8.8	1527656
tt0110912	Pulp Fiction	1994	Crime,Drama	8.9	1566510
tt0137523	Fight Club	1999	Drama	8.8	1605763
tt1375666	Inception	2010	Action,Adventure,Sci-Fi	8.8	1755897
tt0468569	The Dark Knight	2008	Action,Crime,Drama	9.0	1975810
tt0111161	The Shawshank Redemption	1994	Drama	9.3	2006753
